SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,playoffsBool,GP,WINS,LOSSES,WIN_PCT,PO_WINS,PO_LOSSES,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS
1983,1610612738,Boston,Celtics,East,43-15,1,1,82,62,20,0.756,15,8,44.1,88.2,0.5,0.7,2.8,0.24,23.3,29.4,0.792,14.1,31.0,45.1,25.9,23.8,8.2,17.3,5.2,112.1
1983,1610612747,Los Angeles,Lakers,West,39-21,1,1,82,54,28,0.659,14,7,47.0,88.4,0.532,0.7,2.8,0.257,20.9,27.7,0.754,13.4,30.5,43.8,29.9,25.0,8.9,19.2,5.8,115.6
1983,1610612762,Utah,Jazz,West,35-25,2,1,82,45,37,0.549,5,6,44.0,88.3,0.498,1.2,3.9,0.319,25.8,33.0,0.781,13.4,30.8,44.1,27.2,24.1,8.5,18.4,7.4,115.0
1983,1610612749,Milwaukee,Bucks,East,35-23,2,1,82,50,32,0.61,8,8,41.9,85.0,0.492,0.7,2.8,0.254,21.3,28.7,0.74,13.8,29.1,42.9,25.8,26.4,7.8,17.3,6.0,105.7
1983,1610612757,Portland,Trail Blazers,West,36-24,3,1,82,48,34,0.585,2,3,44.3,87.7,0.505,0.3,1.6,0.194,24.2,32.2,0.754,15.3,26.8,42.0,25.4,26.0,9.9,18.1,4.8,113.1
1983,1610612755,Philadelphia,76ers,East,35-23,3,1,82,52,30,0.634,2,3,41.3,83.3,0.495,0.4,1.3,0.271,24.9,33.0,0.754,14.4,29.0,43.5,24.8,24.9,9.8,19.9,8.0,107.8
1983,1610612765,Detroit,Pistons,East,34-24,4,1,82,49,33,0.598,2,3,46.3,96.5,0.48,0.4,1.7,0.227,24.1,31.1,0.775,17.4,29.7,47.1,27.5,26.5,8.5,16.0,5.1,117.1
1983,1610612742,Dallas,Mavericks,West,36-24,4,1,82,43,39,0.524,4,6,44.1,88.2,0.5,0.5,2.2,0.228,21.6,28.7,0.755,13.3,27.6,40.9,26.4,23.2,7.1,15.9,4.4,110.4
1983,1610612760,Seattle,SuperSonics,West,31-29,5,1,82,42,40,0.512,2,3,42.2,86.4,0.488,0.3,1.7,0.193,23.4,30.0,0.78,13.0,28.4,41.4,27.2,23.0,7.8,16.6,4.3,108.1
1983,1610612752,New York,Knicks,East,29-29,5,1,82,47,35,0.573,6,6,41.3,83.4,0.495,0.6,2.0,0.285,23.7,30.6,0.775,13.3,27.2,40.5,24.9,27.8,9.8,19.4,4.4,106.9
1983,1610612756,Phoenix,Suns,West,33-27,6,1,82,41,41,0.5,9,8,44.8,88.0,0.509,0.9,3.5,0.254,20.4,26.9,0.759,13.0,28.0,41.0,27.0,26.2,8.5,17.7,4.7,111.0
1983,1610612751,New Jersey,Nets,East,33-25,6,1,82,45,37,0.549,5,6,44.1,88.5,0.498,0.6,2.8,0.211,21.2,30.3,0.7,14.9,28.2,43.1,26.2,27.4,9.9,19.6,6.1,110.0
1983,1610612743,Denver,Nuggets,West,27-33,7,1,82,38,44,0.463,2,3,48.0,97.4,0.493,0.9,3.1,0.302,26.8,32.8,0.818,13.8,29.8,43.6,30.3,27.8,8.7,16.4,4.3,123.7
1983,1610612758,Kansas City,Kings,West,26-34,7,1,82,38,44,0.463,0,3,42.9,88.2,0.486,0.6,2.3,0.275,23.6,30.4,0.777,14.0,27.7,41.7,27.2,26.8,8.7,18.3,4.7,110.0
1983,1610612737,Atlanta,Hawks,East,32-26,7,1,82,40,42,0.488,2,3,39.4,83.0,0.474,0.3,1.3,0.217,22.4,29.4,0.761,13.6,27.2,40.8,22.3,25.5,7.6,16.2,6.8,101.5
1983,1610612764,Washington,Bullets,East,23-35,8,1,82,35,47,0.427,1,3,40.8,84.2,0.484,0.9,3.4,0.252,20.3,26.8,0.756,12.5,29.1,41.6,26.7,24.3,6.8,17.7,3.9,102.7
1983,1610612744,Golden State,Warriors,West,27-33,9,0,82,37,45,0.451,0,0,42.9,91.9,0.467,0.7,2.8,0.243,23.4,31.4,0.743,17.0,26.5,43.4,22.4,25.7,10.1,18.5,4.2,109.9
1983,1610612759,San Antonio,Spurs,West,26-34,9,0,82,37,45,0.451,0,0,47.7,94.2,0.506,1.0,3.2,0.3,24.0,31.8,0.755,15.0,30.8,45.8,28.8,26.2,8.4,17.6,6.0,120.3
1983,1610612739,Cleveland,Cavaliers,East,20-38,9,0,82,28,54,0.341,0,0,41.0,88.2,0.465,0.5,2.0,0.262,19.7,26.6,0.743,14.8,29.1,43.9,23.5,26.9,7.7,16.2,4.6,102.3
1983,1610612741,Chicago,Bulls,East,18-40,10,0,82,27,55,0.329,0,0,40.3,85.0,0.474,0.2,1.4,0.171,22.8,30.6,0.746,13.9,28.0,42.0,25.5,26.8,8.4,19.2,5.5,103.7
1983,1610612746,San Diego,Clippers,West,23-37,11,0,82,30,52,0.366,0,0,44.3,89.3,0.496,0.3,1.6,0.188,21.8,29.6,0.736,15.9,29.0,45.0,24.2,24.6,6.9,18.5,4.7,110.7
